district_cd,District,Division,Budget_district_seq,block_cd_1,Block_Name,block_cd_2
2719,Aurangabad,Aurangabad,4,271907,Soegaon,271907
2720,Nashik,Nashik,22,272007,Malegaon,272007
2724,Raigarh ,Konkan,27,272407,Murud,272407
2705,Akola,Amravati,2,270503,Balapur,270503
2721,Thane,Konkan,33,272101,Bhiwandi,272101
2704,Buldana,Amravati,7,270405,Motala,270405
2716,Hingoli,Aurangabad,12,271604,Kalamnuri,271604
2728,Latur,Aurangabad,16,272803,Ausa,272803
2720,Nashik,Nashik,22,272014,Trimbak,272014
2709,Nagpur,Nagpur,19,270911,Umred,270911
2709,Nagpur,Nagpur,19,270916,Urc 3,270914
2736,Palghar,Konkan,24,273603,Dahanu,273603
2707,Amravati,Amravati,3,270712,Nandgaon Kh,270712
2733,Sindhudurg,Konkan,31,273305,Malvan,273305
2713,Chandrapur,Nagpur,8,271305,Rajura,271305
2703,Jalgaon,Nashik,13,270309,Jalgaon,270309
2714,Yavatmal,Amravati,36,271403,Darwha,271403
2708,Wardha,Amravati,34,270807,Seloo,270807
2715,Nanded,Aurangabad,20,271511,Bhokar,271511
2730,Solapur,Pune,32,273010,Solapur North,273010
2714,Yavatmal,Amravati,36,271414,Wani,271414
2705,Akola,Amravati,2,270508,Akola Mc,270508
2724,Raigarh ,Konkan,27,272405,Mangaon,272405
2711,Gondia,Nagpur,11,271101,Arjuni Mor,271101
2712,Gadchiroli,Nagpur,10,271210,Korchi,271210
2714,Yavatmal,Amravati,36,271405,Ghatanji,271405
2730,Solapur,Pune,32,273013,Solapur Urc-2,273012
2735,Sangli,Pune,29,273508,Tasgaon,273508
2707,Amravati,Amravati,3,270706,Chikhaldara,270706
2728,Latur,Aurangabad,16,272806,Devani,272806
2734,Kolhapur,Pune,15,273410,Aajara,273410
2734,Kolhapur,Pune,15,273404,Shirol,273404
2710,Bhandara,Nagpur,6,271003,Tumsar,271003
2715,Nanded,Aurangabad,20,271510,Dharmabad,271510
2718,Jalna,Aurangabad,14,271803,Ambad,271803
2709,Nagpur,Nagpur,19,270910,Hingna,270910
2731,Satara,Pune,30,273102,Karad,273102
2728,Latur,Aurangabad,16,272802,Renapur,272802
2720,Nashik,Nashik,22,272002,Chandwad,272002
2724,Raigarh ,Konkan,27,272412,Sudhagad,272412
2709,Nagpur,Nagpur,19,270905,Kamptee,270905
2726,Ahmednagar,Nashik,1,272614,Shrirampoor,272614
2726,Ahmednagar,Nashik,1,272613,Shrigonda,272614
2704,Buldana,Amravati,7,270412,Shegaon,270412
2734,Kolhapur,Pune,15,273406,Gaganbawada,273406
2706,Washim,Amravati,35,270605,Risod,270605
2729,Osmanabad,Aurangabad,23,272903,Lohara,272903
2714,Yavatmal,Amravati,36,271412,Ralegaon,271412
2718,Jalna,Aurangabad,14,271807,Bhokardan,271807
2725,Pune,Pune,26,272504,Daund,272504
2715,Nanded,Aurangabad,20,271516,Mahoor,271516
2707,Amravati,Amravati,3,270703,Anjangaon Surji,270703
2732,Ratnagiri,Konkan,28,273205,Lanja,273205
2711,Gondia,Nagpur,11,271108,Tiroda,271108
2729,Osmanabad,Aurangabad,23,272908,Washi,272908
2726,Ahmednagar,Nashik,1,272610,Rahata,272610
2704,Buldana,Amravati,7,270402,Chikhali,270402
2702,Dhule,Nashik,9,270205,Dhule M.N.P.,270205
2724,Raigarh ,Konkan,27,272411,Roha,272411
2703,Jalgaon,Nashik,13,270312,Pachora,270312
2712,Gadchiroli,Nagpur,10,271203,Kurkheda,271203
2704,Buldana,Amravati,7,270408,Mehakar,270408
2707,Amravati,Amravati,3,270708,Daryapur,270708
2713,Chandrapur,Nagpur,8,271306,Gondpipari,271306
2725,Pune,Pune,26,272510,Mulshi,272510
2715,Nanded,Aurangabad,20,271509,Naigaon,271509
2710,Bhandara,Nagpur,6,271004,Sakoli,271004
2709,Nagpur,Nagpur,19,270917,Urc 4,270914
2732,Ratnagiri,Konkan,28,273209,Sangmeshwar,273209
2721,Thane,Konkan,33,272102,Bhivandi Mnc-Urc1,272102
2736,Palghar,Konkan,24,273604,Jawhar,273604
2704,Buldana,Amravati,7,270409,Jalgaon Jamod,270409
2727,Beed,Aurangabad,5,272703,Beed,272703
2725,Pune,Pune,26,272512,Shirur,272512
2722,Mumbai (BMC),Konkan,17,272208,Urc-8 (Chembur),272202
2715,Nanded,Aurangabad,20,271507,Degloor,271507
2708,Wardha,Amravati,34,270805,Karanja,270805
2708,Wardha,Amravati,34,270808,Wardha,270808
2730,Solapur,Pune,32,273009,Sangola,273009
2730,Solapur,Pune,32,273003,Karmala,273003
2711,Gondia,Nagpur,11,271105,Goregaon,271105
2728,Latur,Aurangabad,16,272805,Shirur Anantpal,272805
2727,Beed,Aurangabad,5,272712,Urc Beed,272712
2704,Buldana,Amravati,7,270413,Sindkhed Raja,270413
2701,Nandurbar,Nashik,21,270103,Shahada,270103
2718,Jalna,Aurangabad,14,271802,Badnapur,271802
2714,Yavatmal,Amravati,36,271408,Maregaon,271408
2718,Jalna,Aurangabad,14,271805,Partur,271805
2720,Nashik,Nashik,22,272017,Malegaon Mc,272017
2725,Pune,Pune,26,272507,Junnar,272507
2729,Osmanabad,Aurangabad,23,272904,Omerga,272904
2721,Thane,Konkan,33,272109,Murbad,272109
2736,Palghar,Konkan,24,273608,Mokhada,273608
2722,Mumbai (BMC),Konkan,17,272201,Urc-1 (Borivali),272201
2725,Pune,Pune,26,272520,Akurdi,272519
2725,Pune,Pune,26,272516,Bibwewadi,272518
2734,Kolhapur,Pune,15,273408,Kagal,273408
2722,Mumbai (BMC),Konkan,17,272204,Urc-4 (Andheri),272201
2710,Bhandara,Nagpur,6,271005,Lakhani,271005
2728,Latur,Aurangabad,16,272804,Nilanga,272804
2712,Gadchiroli,Nagpur,10,271209,Mulchera,271209
2703,Jalgaon,Nashik,13,270308,Erandol,270308
2731,Satara,Pune,30,273104,Khatav,273104
2709,Nagpur,Nagpur,19,270902,Katol,270902
2716,Hingoli,Aurangabad,12,271602,Sengaon,271602
2715,Nanded,Aurangabad,20,271513,Hadgaon,271513
2713,Chandrapur,Nagpur,8,271303,Warora,271303
2708,Wardha,Amravati,34,270801,Arvi,270801
2730,Solapur,Pune,32,273002,Barshi,273002
2703,Jalgaon,Nashik,13,270306,Chopda,270306
2729,Osmanabad,Aurangabad,23,272902,Kallamb,272902
2724,Raigarh ,Konkan,27,272410,Poladpur,272410
2706,Washim,Amravati,35,270603,Mangrulpir,270603
2734,Kolhapur,Pune,15,273403,Hatkalangle,273403
2707,Amravati,Amravati,3,270704,Bhatkuli,270704
2728,Latur,Aurangabad,16,272801,Latur,272801
2706,Washim,Amravati,35,270606,Washim,270606
2725,Pune,Pune,26,272518,Pune City,272518
2732,Ratnagiri,Konkan,28,273206,Mandangad,273206
2736,Palghar,Konkan,24,273617,Vasai,273617
2736,Palghar,Konkan,24,273618,Vikramgad,273618
2703,Jalgaon,Nashik,13,270311,Muktainagar,270311
2707,Amravati,Amravati,3,270702,Amravati,270702
2705,Akola,Amravati,2,270501,Akola Ps,270501
2731,Satara,Pune,30,273108,Patan,273108
2726,Ahmednagar,Nashik,1,272612,Sangamner,272612
2724,Raigarh ,Konkan,27,272403,Khalapur,272403
2728,Latur,Aurangabad,16,272812,Latur Urc2,272812
2722,Mumbai (BMC),Konkan,17,272206,Urc-6 (Bhandup),272202
2713,Chandrapur,Nagpur,8,271313,Saoli,271313
2728,Latur,Aurangabad,16,272808,Jalkot,272808
2709,Nagpur,Nagpur,19,270901,Narkhed,270901
2722,Mumbai (BMC),Konkan,17,272210,Urc-10 (Parel),272203
2733,Sindhudurg,Konkan,31,273304,Kudal,273304
2714,Yavatmal,Amravati,36,271413,Umarkhed,271413
2714,Yavatmal,Amravati,36,271401,Arni,271401
2727,Beed,Aurangabad,5,272704,Dharur,272704
2734,Kolhapur,Pune,15,273402,Panhala,273402
2725,Pune,Pune,26,272514,Aundh,272514
2733,Sindhudurg,Konkan,31,273301,Devgad,273301
2712,Gadchiroli,Nagpur,10,271202,Armori,271202
2726,Ahmednagar,Nashik,1,272604,Karjat,272604
2733,Sindhudurg,Konkan,31,273302,Dodamarg,273302
2712,Gadchiroli,Nagpur,10,271205,Chamorshi,271205
2715,Nanded,Aurangabad,20,271515,Kinwat,271515
2720,Nashik,Nashik,22,272010,Niphad,272010
2733,Sindhudurg,Konkan,31,273307,Vaibhavwadi,273307
2726,Ahmednagar,Nashik,1,272605,Nagar,272605
2719,Aurangabad,Aurangabad,4,271910,Urc1,271910
2729,Osmanabad,Aurangabad,23,272901,Bhoom,272901
2713,Chandrapur,Nagpur,8,271307,Korpana,271307
2703,Jalgaon,Nashik,13,270310,Jamner,270310
2714,Yavatmal,Amravati,36,271415,Yavatmal,271415
2704,Buldana,Amravati,7,270404,Deulgaon Raja,270404
2728,Latur,Aurangabad,16,272811,Latur Urc1,272811
2713,Chandrapur,Nagpur,8,271315,Jiwati,271315
2701,Nandurbar,Nashik,21,270105,Akkalkuwa,270105
2714,Yavatmal,Amravati,36,271406,Kalamb,271406
2717,Parbhani,Aurangabad,25,271708,Sailu,271708
2718,Jalna,Aurangabad,14,271806,Mantha,271806
2719,Aurangabad,Aurangabad,4,271902,Gangapur,271902
2725,Pune,Pune,26,272506,Indapur,272506
2725,Pune,Pune,26,272501,Ambegaon,272501
2715,Nanded,Aurangabad,20,271506,Mukhed,271506
2716,Hingoli,Aurangabad,12,271601,Hingoli,271601
2708,Wardha,Amravati,34,270803,Deoli,270803
2722,Mumbai (BMC),Konkan,17,272209,Urc-9 (Kurla),272202
2719,Aurangabad,Aurangabad,4,271905,Paithan,271905
